== Phase 1 ==
MEM: abs=16642998272 bytes
== Phase 2 ==
CPU: threads=12 util=0.66 duration=416s
[metrics] name=MD elapsed_s=207.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=208.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=209.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=210.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=211.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=212.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=213.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=214.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=215.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=216.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=217.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=218.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=219.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=220.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=221.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=222.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=223.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=224.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=225.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=226.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=227.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=228.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=229.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=230.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=231.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=232.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=233.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=234.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=235.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=236.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=237.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=238.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=239.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=240.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=241.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=242.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=243.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=244.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=245.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=246.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=247.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=248.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=249.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=250.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=251.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=252.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=253.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=254.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=255.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=256.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=257.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=258.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=259.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=260.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=261.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=262.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=263.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=264.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=265.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=266.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=267.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=268.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=269.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=270.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=271.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=272.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=273.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=274.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=275.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=276.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=277.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=278.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=279.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=280.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=281.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=282.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=283.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=284.0 alloc_bytes=16642998272 VmRSS_kib=16255744
