== Phase 1 ==
MEM: abs=11703785881 bytes
== Phase 2 ==
CPU: threads=28 util=0.94 duration=169s
[metrics] name=DL elapsed_s=164.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=165.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=166.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=167.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=168.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=169.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=170.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=171.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=172.0 alloc_bytes=11703785881 VmRSS_kib=11432448
== Phase 3 ==
MEM: +=12348030976 bytes
== Phase 4 ==
SLEEP: duration=11.0s
[metrics] name=DL elapsed_s=173.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=176.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=176.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=176.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=177.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=178.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=179.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=180.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=181.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=182.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=183.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=184.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=185.0 alloc_bytes=24051816857 VmRSS_kib=23490816
[metrics] name=DL elapsed_s=186.0 alloc_bytes=24051816857 VmRSS_kib=23490816
== Phase 5 ==
MEM: -=12348030976 bytes
== Phase 6 ==
CPU: threads=28 util=0.9 duration=174.0s
[metrics] name=DL elapsed_s=187.0 alloc_bytes=11703785881 VmRSS_kib=11432200
[metrics] name=DL elapsed_s=188.0 alloc_bytes=11703785881 VmRSS_kib=11432200
[metrics] name=DL elapsed_s=189.0 alloc_bytes=11703785881 VmRSS_kib=11432200
[metrics] name=DL elapsed_s=190.0 alloc_bytes=11703785881 VmRSS_kib=11432200
